config,phase,run,repetition,kpi,mean,std,median,p5,p25,p75,p95,min,max,n_samples
RTP_Stable,Stable,RTP_Stable-2-20260415-18:34:46-23344,0,harq_error,0.09404117994636607,0.2918859990144462,0.0,0.0,0.0,0.0,1.0,0.0,1.0,22001
RTP_Stable,Stable,RTP_Stable-3-20260415-18:35:07-20192,0,harq_error,0.27521168732056545,0.4466208845125055,0.0,0.0,0.0,1.0,1.0,0.0,1.0,27517
RTP_Stable,Stable,RTP_Stable-4-20260415-18:35:29-24900,0,harq_error,0.0008514048179496168,0.02916641780859605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19967
RTP_Drift,Drift,RTP_Drift-0-20260415-18:35:51-4740,0,sinr,45.855674896304045,13.401704306422019,46.680453743097004,20.845841046316604,39.53096094036375,53.46303177878825,66.16502271217705,-15.799102009301,90.218169520611,23234
RTP_Drift,Drift,RTP_Drift-1-20260415-18:36:08-16500,0,sinr,40.90159158156982,19.837924301132997,45.990699377798,2.530031984915601,29.189177196975,53.94930760698775,65.71936303351079,-19.616261139388,116.95064853203,25710
RTP_Drift,Drift,RTP_Drift-2-20260415-18:36:23-15340,0,sinr,49.74805083263927,16.706954732230205,49.3857519314765,20.051649597791705,42.065624721326,58.137125602542994,76.910003919969,-19.754767849067,105.94140639376,23184
RTP_Drift,Drift,RTP_Drift-3-20260415-18:36:41-3432,0,sinr,36.92945899776691,20.26235500928092,40.867194510534,2.7459680833087,21.18336024935375,49.853887727986,67.83673061959827,-19.974199135565,108.12616598264,26842
RTP_Drift,Drift,RTP_Drift-4-20260415-18:37:02-14032,0,sinr,46.818275028495904,9.806238189849145,46.162875036746,31.5510542984519,40.130550072392495,52.9284291772145,64.556480445477,-5.2680933783996,81.3969913802,22447
RTP_Drift,Drift,RTP_Drift-0-20260415-18:35:51-4740,0,cqi,14.414934858595489,0.49271078912261534,14.0,14.0,14.0,15.0,15.0,14.0,15.0,15735
RTP_Drift,Drift,RTP_Drift-1-20260415-18:36:08-16500,0,cqi,14.80232558139535,0.3982452044079932,15.0,14.0,15.0,15.0,15.0,14.0,15.0,18232
RTP_Drift,Drift,RTP_Drift-2-20260415-18:36:23-15340,0,cqi,14.67857370264247,0.4670240172887884,15.0,14.0,14.0,15.0,15.0,14.0,15.0,15705
